Date|Subject|Email|Name|Hour|Weekday
2023-01-04 16:04:43+00:00|William Brian Matias Coronado twitteó: #LoÚltimo Debido a la resiste...|info@twitter.com|Twitter|16h-17h|Wednesday
2023-01-04 07:39:10+00:00|Gran Hermano Clips twitteó: Se busca columna nueva para Alfa... #GH2...|info@twitter.com|Twitter|7h-8h|Wednesday
2023-01-03 18:46:50+00:00|Alerta de seguridad|no-reply@accounts.google.com|Google|18h-19h|Tuesday
2023-01-03 13:09:34+00:00|📣 Jairo, Join the Free Scrum Fundamentals Webinar & get SFC™ certified|support@scrumstudycertifications.org|SCRUMstudy|13h-14h|Tuesday
2022-12-31 17:13:51+00:00|Nuevo inicio de sesión de Twitter desde ChromeDesktop en Windows|verify@twitter.com|Twitter|17h-18h|Saturday
2022-12-31 17:11:03+00:00|Alerta de seguridad|no-reply@accounts.google.com|Google|17h-18h|Saturday
2022-12-31 17:11:03+00:00|Tu cuenta de Google se ha recuperado correctamente|no-reply@accounts.google.com|Google|17h-18h|Saturday
2022-12-31 17:09:07+00:00|Código de verificación de Google|noreply@google.com|Google|17h-18h|Saturday
2022-12-31 17:06:58+00:00|473514 is your Twitter verification code|verify@twitter.com|Twitter|17h-18h|Saturday
2022-12-28 16:37:25+00:00|Alerta de seguridad|no-reply@accounts.google.com|Google|16h-17h|Wednesday
2022-12-28 16:36:43+00:00|Alerta de seguridad|no-reply@accounts.google.com|Google|16h-17h|Wednesday
2022-12-28 16:01:59+00:00|Alerta de seguridad|no-reply@accounts.google.com|Google|16h-17h|Wednesday
2022-12-28 16:01:44+00:00|Alerta de seguridad|no-reply@accounts.google.com|Google|16h-17h|Wednesday
2022-12-28 15:58:21+00:00|Se ha activado la verificación en dos pasos|no-reply@accounts.google.com|Google|15h-16h|Wednesday
2022-12-28 15:58:10+00:00|Alerta de seguridad|no-reply@accounts.google.com|Google|15h-16h|Wednesday
2022-12-28 07:56:59-08:00|Jairo, el siguiente paso que debes realizar en tu dispositivo Windows es confirmar la configuración de tu cuenta de Google|google-noreply@google.com|The Google Account Team|7h-8h|Wednesday
2022-12-28 15:55:57+00:00|Alerta de seguridad|no-reply@accounts.google.com|Google|15h-16h|Wednesday
2022-12-15 11:00:56+00:00|¡MEGA te echa de menos!|noreply@mega.nz|MEGA|11h-12h|Thursday
2022-11-30 23:29:44+00:00|Tu 2022 en Spotify ya |no-reply@spotify.com|Spotify|23h-24h|Wednesday
2022-11-29 13:40:34+00:00|📣 Jairo, Attend the Free Scrum Webinar & get SFC™ certified|support@scrumstudycertifications.org|SCRUMstudy|13h-14h|Tuesday
2022-11-26 14:57:32+00:00|¿Todo|no-reply@spotify.com|Spotify|14h-15h|Saturday
2022-11-24 11:02:47-04:00|⚽¡Descuentos para vivir lo mejor del fútbol!⚡|infoclientes@telefonica.com|Movistar|11h-12h|Thursday
2022-11-13 21:21:05+00:00|¡MEGA te echa de menos!|noreply@mega.nz|MEGA|21h-22h|Sunday
2022-11-06 12:17:58-08:00|Alerta de inicio de sesión de Facebook for iPhone|security@facebookmail.com|Facebook|12h-13h|Sunday
2022-10-31 14:35:27+00:00|📣 Jairo, Attend the Free Scrum Webinar & get SFC™ certified|support@scrumstudycertifications.org|SCRUMstudy|14h-15h|Monday
2022-10-26 12:29:39-04:00|🍿💻¡Completa tu Dúo TV+Internet y AHORRA S/40 cada mes! 💻🍿 Pídelo por solo S/117x3meses|infoclientes@telefonica.com|Movistar|12h-13h|Wednesday
2022-10-25 22:32:56+00:00|    Jairo, te dejamos algunas recomendaciones 🥳🤩 |rappi@hello.rappi.com.pe|Rappi|22h-23h|Tuesday
2022-10-14 22:00:50+00:00|Jairo, SFC™ Webinar is live ▶️! Please join in|support@scrumstudycertifications.org|SCRUMstudy|22h-23h|Friday
2022-10-13 23:00:15+00:00|⌚ The wait is almost over, 1-day left for the SCRUMstudy SFC™ webinar!|support@scrumstudycertifications.org|SCRUMstudy|23h-24h|Thursday
2022-10-06 18:49:26-07:00|Jairo, el siguiente paso que debes realizar en tu dispositivo Windows es confirmar la configuración de tu cuenta de Google|google-noreply@google.com|The Google Account Team|18h-19h|Thursday
2022-10-07 01:49:24+00:00|Hi Jairo , Join SCRUMstudy LinkedIn Group; Share with 130,000 + Members!|noreply@scrumstudy.com|SCRUMstudy|1h-2h|Friday
